"","HHID_panel","index2010","index2016","index2020","cluster1","cluster2","cluster3","cluster4","cluster5","cluster6"
"308","ORA15",0.17538461,0,0.13688225,1,2,1,3,3,3
"309","ORA17",0,0.01133868,0.30793712,2,3,2,1,1,1
"310","ORA18",0.027370786,0.022485619,0.10927356,1,2,1,3,3,3
"311","ORA2",0.051362738,0.039559677,0.48604041,2,3,2,1,1,1
"312","ORA21",0.054615386,0.033984821,0.00029727136,1,2,1,3,3,3
"313","ORA22",0.044128858,0.19072893,0,1,1,3,2,2,2
"314","ORA23",0.056661654,0,0.039718233,1,2,1,3,3,3
"315","ORA24",0.033723637,0.054983817,0.00047357235,1,2,1,3,3,3
"316","ORA25",0.032572679,0.19581608,0.23185855,2,1,3,2,2,2
"317","ORA26",0.0019148936,0,0.62630379,2,3,2,1,1,1
"318","ORA27",0.034146342,0.16697519,0.1096063,1,1,3,2,2,2
"319","ORA28",0.168538,0.061771803,0.070073985,1,2,1,3,3,3
"320","ORA29",0.0083478261,0.30512869,0.039350715,3,1,3,2,2,2
"321","ORA30",0.10753849,0.094895072,0.58574277,2,3,2,1,1,1
"322","ORA32",0.0033179722,0.084687911,0.15890901,1,1,1,3,3,3
"323","ORA33",0.028137932,0,0.14530194,1,2,1,3,3,3
"324","ORA35",0,0.014826407,0.18754727,1,2,1,3,3,3
"325","ORA36",0.034843635,0.2181377,0.033268429,3,1,3,2,2,2
"326","ORA38",0.19515152,0.0205875,0.0011134492,1,2,1,3,3,3
"327","ORA39",0,0.0059045879,0.013862081,1,2,1,3,3,3
"328","ORA40",0.061309636,0.29060784,0.073441222,3,1,3,2,2,2
"329","ORA41",0.26136392,0.11803915,0.015107644,1,2,1,3,3,3
"330","ORA43",0,0.17844665,0.25270873,2,1,2,1,1,1
"331","ORA44",0.043136306,0.11146833,0.066324241,1,2,1,3,3,3
"332","ORA45",0.037931032,0.0064397394,0.17706023,1,2,1,3,3,3
"333","ORA46",0.0019999999,0.13893171,0.042502545,1,2,1,3,3,3
"334","ORA47",0.15199246,0,0.0061679925,1,2,1,3,3,3
"335","ORA48",0.088407725,0.12796772,0.019941406,1,2,1,3,3,3
"336","ORA49",0.085806571,0.011773278,0.34666514,2,3,2,1,1,1
"337","ORA51",0.25914317,0.079667427,0.11303142,1,2,1,3,3,3
"338","ORA52",0.0019999999,0,0.16008495,1,2,1,3,3,3
"339","ORA8",0.0037500001,0,0.16736116,1,2,1,3,3,3
